trim_pot: 407 ,pot_adjust: 32 ,last_read: 439 ,Percentage:40% ,trim_pot_changed True
trim_pot: 426 ,pot_adjust: 19 ,last_read: 407 ,Percentage:42% ,trim_pot_changed True
trim_pot: 402 ,pot_adjust: 24 ,last_read: 426 ,Percentage:39% ,trim_pot_changed True
trim_pot: 403 ,pot_adjust: 1 ,last_read: 402 ,Percentage:39% ,trim_pot_changed True
trim_pot: 364 ,pot_adjust: 39 ,last_read: 403 ,Percentage:36% ,trim_pot_changed True
trim_pot: 355 ,pot_adjust: 9 ,last_read: 364 ,Percentage:35% ,trim_pot_changed True
trim_pot: 405 ,pot_adjust: 50 ,last_read: 355 ,Percentage:40% ,trim_pot_changed True
trim_pot: 344 ,pot_adjust: 61 ,last_read: 405 ,Percentage:34% ,trim_pot_changed True
trim_pot: 387 ,pot_adjust: 43 ,last_read: 344 ,Percentage:38% ,trim_pot_changed True
trim_pot: 310 ,pot_adjust: 77 ,last_read: 387 ,Percentage:30% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 14 ,last_read: 310 ,Percentage:32% ,trim_pot_changed True
trim_pot: 334 ,pot_adjust: 10 ,last_read: 324 ,Percentage:33% ,trim_pot_changed True
trim_pot: 335 ,pot_adjust: 1 ,last_read: 334 ,Percentage:33% ,trim_pot_changed True
trim_pot: 261 ,pot_adjust: 74 ,last_read: 335 ,Percentage:25% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 63 ,last_read: 261 ,Percentage:32% ,trim_pot_changed True
trim_pot: 160 ,pot_adjust: 164 ,last_read: 324 ,Percentage:16% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 160 ,last_read: 160 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 1 ,pot_adjust: 1 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 1 ,last_read: 1 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 321 ,pot_adjust: 321 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 3 ,last_read: 321 ,Percentage:32% ,trim_pot_changed True
trim_pot: 341 ,pot_adjust: 17 ,last_read: 324 ,Percentage:33% ,trim_pot_changed True
trim_pot: 289 ,pot_adjust: 52 ,last_read: 341 ,Percentage:28% ,trim_pot_changed True
trim_pot: 411 ,pot_adjust: 122 ,last_read: 289 ,Percentage:40% ,trim_pot_changed True
trim_pot: 402 ,pot_adjust: 9 ,last_read: 411 ,Percentage:39% ,trim_pot_changed True
trim_pot: 399 ,pot_adjust: 3 ,last_read: 402 ,Percentage:39% ,trim_pot_changed True
trim_pot: 379 ,pot_adjust: 20 ,last_read: 399 ,Percentage:37% ,trim_pot_changed True
trim_pot: 405 ,pot_adjust: 26 ,last_read: 379 ,Percentage:40% ,trim_pot_changed True
trim_pot: 403 ,pot_adjust: 2 ,last_read: 405 ,Percentage:39% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 88 ,last_read: 403 ,Percentage:31% ,trim_pot_changed True
trim_pot: 360 ,pot_adjust: 45 ,last_read: 315 ,Percentage:35% ,trim_pot_changed True
trim_pot: 417 ,pot_adjust: 57 ,last_read: 360 ,Percentage:41% ,trim_pot_changed True
trim_pot: 323 ,pot_adjust: 94 ,last_read: 417 ,Percentage:32% ,trim_pot_changed True
trim_pot: 347 ,pot_adjust: 24 ,last_read: 323 ,Percentage:34% ,trim_pot_changed True
trim_pot: 345 ,pot_adjust: 2 ,last_read: 347 ,Percentage:34% ,trim_pot_changed True
trim_pot: 356 ,pot_adjust: 11 ,last_read: 345 ,Percentage:35% ,trim_pot_changed True
trim_pot: 333 ,pot_adjust: 23 ,last_read: 356 ,Percentage:33% ,trim_pot_changed True
trim_pot: 321 ,pot_adjust: 12 ,last_read: 333 ,Percentage:31% ,trim_pot_changed True
trim_pot: 345 ,pot_adjust: 24 ,last_read: 321 ,Percentage:34% ,trim_pot_changed True
trim_pot: 283 ,pot_adjust: 62 ,last_read: 345 ,Percentage:28% ,trim_pot_changed True
trim_pot: 309 ,pot_adjust: 26 ,last_read: 283 ,Percentage:30% ,trim_pot_changed True
trim_pot: 311 ,pot_adjust: 2 ,last_read: 309 ,Percentage:30% ,trim_pot_changed True
trim_pot: 292 ,pot_adjust: 19 ,last_read: 311 ,Percentage:29% ,trim_pot_changed True
