trim_pot: 307 ,pot_adjust: 307 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 14 ,pot_adjust: 293 ,last_read: 307 ,Percentage:1% ,trim_pot_changed True
trim_pot: 206 ,pot_adjust: 192 ,last_read: 14 ,Percentage:20% ,trim_pot_changed True
trim_pot: 73 ,pot_adjust: 133 ,last_read: 206 ,Percentage:7% ,trim_pot_changed True
trim_pot: 70 ,pot_adjust: 3 ,last_read: 73 ,Percentage:7% ,trim_pot_changed True
trim_pot: 319 ,pot_adjust: 249 ,last_read: 70 ,Percentage:31% ,trim_pot_changed True
trim_pot: 6 ,pot_adjust: 313 ,last_read: 319 ,Percentage:1% ,trim_pot_changed True
trim_pot: 297 ,pot_adjust: 291 ,last_read: 6 ,Percentage:29% ,trim_pot_changed True
trim_pot: 3 ,pot_adjust: 294 ,last_read: 297 ,Percentage:0% ,trim_pot_changed True
trim_pot: 303 ,pot_adjust: 300 ,last_read: 3 ,Percentage:30% ,trim_pot_changed True
trim_pot: 10 ,pot_adjust: 293 ,last_read: 303 ,Percentage:1% ,trim_pot_changed True
trim_pot: 313 ,pot_adjust: 303 ,last_read: 10 ,Percentage:31% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 302 ,last_read: 313 ,Percentage:1% ,trim_pot_changed True
trim_pot: 248 ,pot_adjust: 237 ,last_read: 11 ,Percentage:24% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 248 ,last_read: 248 ,Percentage:0% ,trim_pot_changed True
trim_pot: 321 ,pot_adjust: 321 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 321 ,last_read: 321 ,Percentage:0% ,trim_pot_changed True
trim_pot: 295 ,pot_adjust: 295 ,last_read: 0 ,Percentage:29% ,trim_pot_changed True
trim_pot: 7 ,pot_adjust: 288 ,last_read: 295 ,Percentage:1% ,trim_pot_changed True
trim_pot: 340 ,pot_adjust: 333 ,last_read: 7 ,Percentage:33% ,trim_pot_changed True
trim_pot: 12 ,pot_adjust: 328 ,last_read: 340 ,Percentage:1% ,trim_pot_changed True
trim_pot: 306 ,pot_adjust: 294 ,last_read: 12 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 306 ,last_read: 306 ,Percentage:0% ,trim_pot_changed True
trim_pot: 327 ,pot_adjust: 327 ,last_read: 0 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 327 ,last_read: 327 ,Percentage:0% ,trim_pot_changed True
trim_pot: 334 ,pot_adjust: 334 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 10 ,pot_adjust: 324 ,last_read: 334 ,Percentage:1% ,trim_pot_changed True
trim_pot: 333 ,pot_adjust: 323 ,last_read: 10 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 333 ,last_read: 333 ,Percentage:0% ,trim_pot_changed True
trim_pot: 381 ,pot_adjust: 381 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 381 ,last_read: 381 ,Percentage:0% ,trim_pot_changed True
trim_pot: 373 ,pot_adjust: 373 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 373 ,last_read: 373 ,Percentage:0% ,trim_pot_changed True
trim_pot: 387 ,pot_adjust: 387 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 387 ,last_read: 387 ,Percentage:0% ,trim_pot_changed True
trim_pot: 351 ,pot_adjust: 351 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 351 ,last_read: 351 ,Percentage:0% ,trim_pot_changed True
trim_pot: 405 ,pot_adjust: 405 ,last_read: 0 ,Percentage:40% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 405 ,last_read: 405 ,Percentage:0% ,trim_pot_changed True
trim_pot: 350 ,pot_adjust: 350 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 350 ,last_read: 350 ,Percentage:0% ,trim_pot_changed True
trim_pot: 347 ,pot_adjust: 347 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 347 ,last_read: 347 ,Percentage:0% ,trim_pot_changed True
trim_pot: 367 ,pot_adjust: 367 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 367 ,last_read: 367 ,Percentage:0% ,trim_pot_changed True
trim_pot: 383 ,pot_adjust: 383 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 383 ,last_read: 383 ,Percentage:0% ,trim_pot_changed True
trim_pot: 366 ,pot_adjust: 366 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 366 ,last_read: 366 ,Percentage:0% ,trim_pot_changed True
trim_pot: 390 ,pot_adjust: 390 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 390 ,last_read: 390 ,Percentage:0% ,trim_pot_changed True
trim_pot: 286 ,pot_adjust: 286 ,last_read: 0 ,Percentage:28% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 286 ,last_read: 286 ,Percentage:0% ,trim_pot_changed True
trim_pot: 294 ,pot_adjust: 294 ,last_read: 0 ,Percentage:29% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 294 ,last_read: 294 ,Percentage:0% ,trim_pot_changed True
trim_pot: 267 ,pot_adjust: 267 ,last_read: 0 ,Percentage:26% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 267 ,last_read: 267 ,Percentage:0% ,trim_pot_changed True
trim_pot: 265 ,pot_adjust: 265 ,last_read: 0 ,Percentage:26% ,trim_pot_changed True
trim_pot: 45 ,pot_adjust: 220 ,last_read: 265 ,Percentage:4% ,trim_pot_changed True
trim_pot: 169 ,pot_adjust: 124 ,last_read: 45 ,Percentage:17% ,trim_pot_changed True
trim_pot: 263 ,pot_adjust: 94 ,last_read: 169 ,Percentage:26% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 263 ,last_read: 263 ,Percentage:0% ,trim_pot_changed True
trim_pot: 303 ,pot_adjust: 303 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 2 ,pot_adjust: 301 ,last_read: 303 ,Percentage:0% ,trim_pot_changed True
trim_pot: 304 ,pot_adjust: 302 ,last_read: 2 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 304 ,last_read: 304 ,Percentage:0% ,trim_pot_changed True
trim_pot: 315 ,pot_adjust: 315 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 12 ,pot_adjust: 303 ,last_read: 315 ,Percentage:1% ,trim_pot_changed True
trim_pot: 299 ,pot_adjust: 287 ,last_read: 12 ,Percentage:29% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 288 ,last_read: 299 ,Percentage:1% ,trim_pot_changed True
trim_pot: 321 ,pot_adjust: 310 ,last_read: 11 ,Percentage:31% ,trim_pot_changed True
trim_pot: 4 ,pot_adjust: 317 ,last_read: 321 ,Percentage:0% ,trim_pot_changed True
trim_pot: 321 ,pot_adjust: 317 ,last_read: 4 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 321 ,last_read: 321 ,Percentage:0% ,trim_pot_changed True
trim_pot: 331 ,pot_adjust: 331 ,last_read: 0 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 331 ,last_read: 331 ,Percentage:0% ,trim_pot_changed True
trim_pot: 314 ,pot_adjust: 314 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 2 ,pot_adjust: 312 ,last_read: 314 ,Percentage:0% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 322 ,last_read: 2 ,Percentage:32% ,trim_pot_changed True
trim_pot: 9 ,pot_adjust: 315 ,last_read: 324 ,Percentage:1% ,trim_pot_changed True
trim_pot: 304 ,pot_adjust: 295 ,last_read: 9 ,Percentage:30% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 293 ,last_read: 304 ,Percentage:1% ,trim_pot_changed True
trim_pot: 263 ,pot_adjust: 252 ,last_read: 11 ,Percentage:26% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 263 ,last_read: 263 ,Percentage:0% ,trim_pot_changed True
trim_pot: 342 ,pot_adjust: 342 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 342 ,last_read: 342 ,Percentage:0% ,trim_pot_changed True
trim_pot: 390 ,pot_adjust: 390 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 390 ,last_read: 390 ,Percentage:0% ,trim_pot_changed True
trim_pot: 382 ,pot_adjust: 382 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 382 ,last_read: 382 ,Percentage:0% ,trim_pot_changed True
trim_pot: 399 ,pot_adjust: 399 ,last_read: 0 ,Percentage:39% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 399 ,last_read: 399 ,Percentage:0% ,trim_pot_changed True
trim_pot: 409 ,pot_adjust: 409 ,last_read: 0 ,Percentage:40% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 409 ,last_read: 409 ,Percentage:0% ,trim_pot_changed True
trim_pot: 392 ,pot_adjust: 392 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 392 ,last_read: 392 ,Percentage:0% ,trim_pot_changed True
trim_pot: 387 ,pot_adjust: 387 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 387 ,last_read: 387 ,Percentage:0% ,trim_pot_changed True
trim_pot: 390 ,pot_adjust: 390 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 390 ,last_read: 390 ,Percentage:0% ,trim_pot_changed True
trim_pot: 311 ,pot_adjust: 311 ,last_read: 0 ,Percentage:30% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 311 ,last_read: 311 ,Percentage:0% ,trim_pot_changed True
trim_pot: 322 ,pot_adjust: 322 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 19 ,pot_adjust: 303 ,last_read: 322 ,Percentage:2% ,trim_pot_changed True
trim_pot: 175 ,pot_adjust: 156 ,last_read: 19 ,Percentage:17% ,trim_pot_changed True
trim_pot: 332 ,pot_adjust: 157 ,last_read: 175 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 332 ,last_read: 332 ,Percentage:0% ,trim_pot_changed True
trim_pot: 297 ,pot_adjust: 297 ,last_read: 0 ,Percentage:29% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 297 ,last_read: 297 ,Percentage:0% ,trim_pot_changed True
trim_pot: 316 ,pot_adjust: 316 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 6 ,pot_adjust: 310 ,last_read: 316 ,Percentage:1% ,trim_pot_changed True
trim_pot: 329 ,pot_adjust: 323 ,last_read: 6 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 329 ,last_read: 329 ,Percentage:0% ,trim_pot_changed True
trim_pot: 349 ,pot_adjust: 349 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 349 ,last_read: 349 ,Percentage:0% ,trim_pot_changed True
trim_pot: 335 ,pot_adjust: 335 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 335 ,last_read: 335 ,Percentage:0% ,trim_pot_changed True
trim_pot: 347 ,pot_adjust: 347 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 347 ,last_read: 347 ,Percentage:0% ,trim_pot_changed True
trim_pot: 405 ,pot_adjust: 405 ,last_read: 0 ,Percentage:40% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 405 ,last_read: 405 ,Percentage:0% ,trim_pot_changed True
trim_pot: 424 ,pot_adjust: 424 ,last_read: 0 ,Percentage:41% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 424 ,last_read: 424 ,Percentage:0% ,trim_pot_changed True
trim_pot: 413 ,pot_adjust: 413 ,last_read: 0 ,Percentage:40% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 413 ,last_read: 413 ,Percentage:0% ,trim_pot_changed True
trim_pot: 360 ,pot_adjust: 360 ,last_read: 0 ,Percentage:35% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 360 ,last_read: 360 ,Percentage:0% ,trim_pot_changed True
trim_pot: 393 ,pot_adjust: 393 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 393 ,last_read: 393 ,Percentage:0% ,trim_pot_changed True
trim_pot: 367 ,pot_adjust: 367 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 367 ,last_read: 367 ,Percentage:0% ,trim_pot_changed True
trim_pot: 336 ,pot_adjust: 336 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 336 ,last_read: 336 ,Percentage:0% ,trim_pot_changed True
trim_pot: 352 ,pot_adjust: 352 ,last_read: 0 ,Percentage:34% ,trim_pot_changed True
trim_pot: 32 ,pot_adjust: 320 ,last_read: 352 ,Percentage:3% ,trim_pot_changed True
trim_pot: 212 ,pot_adjust: 180 ,last_read: 32 ,Percentage:21% ,trim_pot_changed True
trim_pot: 164 ,pot_adjust: 48 ,last_read: 212 ,Percentage:16% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 164 ,last_read: 164 ,Percentage:0% ,trim_pot_changed True
trim_pot: 317 ,pot_adjust: 317 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 317 ,last_read: 317 ,Percentage:0% ,trim_pot_changed True
trim_pot: 313 ,pot_adjust: 313 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 313 ,last_read: 313 ,Percentage:0% ,trim_pot_changed True
trim_pot: 314 ,pot_adjust: 314 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 314 ,last_read: 314 ,Percentage:0% ,trim_pot_changed True
trim_pot: 278 ,pot_adjust: 278 ,last_read: 0 ,Percentage:27% ,trim_pot_changed True
