1463674590.71 , serbatoio , 71.7538688213 , al_fondi , 36.6791634981 , al_generico , 5.72490494297 , al_calcif , 0.0 , premacinato , 5.70572243346 , tazza1 , 70.5080798479 , tazza2 , 41.1760551331 , vapore , 0.0 
1463674590.71 , serbatoio , 71.7511111111 , al_fondi , 36.6443304843 , al_generico , 5.72846153846 , al_calcif , 0.0 , premacinato , 5.70966761633 , tazza1 , 70.5050237417 , tazza2 , 41.2079867047 , vapore , 0.0 
1463674590.72 , serbatoio , 71.7540037951 , al_fondi , 36.679516129 , al_generico , 5.72784629981 , al_calcif , 0.0 , premacinato , 5.70897533207 , tazza1 , 70.5079886148 , tazza2 , 41.239857685 , vapore , 0.0 
1463674590.72 , serbatoio , 71.756985782 , al_fondi , 36.7146350711 , al_generico , 5.73158293839 , al_calcif , 0.0 , premacinato , 5.71263507109 , tazza1 , 70.5051184834 , tazza2 , 41.2098388626 , vapore , 0.0 
1463674590.73 , serbatoio , 71.7541382576 , al_fondi , 36.6798674242 , al_generico , 5.73521780303 , al_calcif , 0.0 , premacinato , 5.71619318182 , tazza1 , 70.5023484848 , tazza2 , 41.1798768939 , vapore , 0.0 
1463674590.73 , serbatoio , 71.7512961211 , al_fondi , 36.6451655629 , al_generico , 5.73894039735 , al_calcif , 0.0 , premacinato , 5.71540208136 , tazza1 , 70.5052223273 , tazza2 , 41.2117786187 , vapore , 0.0 
1463674590.74 , serbatoio , 71.7542722117 , al_fondi , 36.6802173913 , al_generico , 5.73822306238 , al_calcif , 0.0 , premacinato , 5.71461247637 , tazza1 , 70.5081758034 , tazza2 , 41.2435255198 , vapore , 0.0 
1463674590.74 , serbatoio , 71.7572426818 , al_fondi , 36.6455807365 , al_generico , 5.74184135977 , al_calcif , 0.0 , premacinato , 5.71834749764 , tazza1 , 70.5054107649 , tazza2 , 41.2136166195 , vapore , 0.0 
1463674590.75 , serbatoio , 71.7545943396 , al_fondi , 36.611009434 , al_generico , 5.74489622642 , al_calcif , 0.0 , premacinato , 5.72198113208 , tazza1 , 70.5083584906 , tazza2 , 41.2453962264 , vapore , 0.0 
1463674590.76 , serbatoio , 71.757464656 , al_fondi , 36.645994345 , al_generico , 5.74417530631 , al_calcif , 0.0 , premacinato , 5.72100848256 , tazza1 , 70.5113006598 , tazza2 , 41.2770216777 , vapore , 0.0 
1463674590.76 , serbatoio , 71.7604237288 , al_fondi , 36.680913371 , al_generico , 5.74345574388 , al_calcif , 0.0 , premacinato , 5.7202165725 , tazza1 , 70.5084463277 , tazza2 , 41.247259887 , vapore , 0.0 
1463674590.77 , serbatoio , 71.7575917215 , al_fondi , 36.646406397 , al_generico , 5.74724365005 , al_calcif , 0.0 , premacinato , 5.72374412041 , tazza1 , 70.5056914393 , tazza2 , 41.2175540922 , vapore , 0.0 
1463674590.77 , serbatoio , 71.7547650376 , al_fondi , 36.6119642857 , al_generico , 5.7507424812 , al_calcif , 0.0 , premacinato , 5.72295112782 , tazza1 , 70.5085432331 , tazza2 , 41.2491165414 , vapore , 0.0 
1463674590.78 , serbatoio , 71.7579061033 , al_fondi , 36.6469107981 , al_generico , 5.74992488263 , al_calcif , 0.0 , premacinato , 5.72225352113 , tazza1 , 70.5112957746 , tazza2 , 41.2806197183 , vapore , 0.0 
1463674590.78 , serbatoio , 71.7608536585 , al_fondi , 36.612532833 , al_generico , 5.75350844278 , al_calcif , 0.0 , premacinato , 5.72595684803 , tazza1 , 70.5085459662 , tazza2 , 41.2509662289 , vapore , 0.0 
1463674590.79 , serbatoio , 71.758031865 , al_fondi , 36.5782193065 , al_generico , 5.75735707591 , al_calcif , 0.0 , premacinato , 5.72955951265 , tazza1 , 70.5116588566 , tazza2 , 41.2824086223 , vapore , 0.0 
1463674590.79 , serbatoio , 71.7609737828 , al_fondi , 36.613005618 , al_generico , 5.7568164794 , al_calcif , 0.0 , premacinato , 5.72912921348 , tazza1 , 70.5145786517 , tazza2 , 41.3137921348 , vapore , 0.0 
1463674590.8 , serbatoio , 71.7640037418 , al_fondi , 36.6477268475 , al_generico , 5.75618334892 , al_calcif , 0.0 , premacinato , 5.72842843779 , tazza1 , 70.5119270346 , tazza2 , 41.2843685688 , vapore , 0.0 
1463674590.8 , serbatoio , 71.7611869159 , al_fondi , 36.6134766355 , al_generico , 5.75974766355 , al_calcif , 0.0 , premacinato , 5.73201869159 , tazza1 , 70.5091869159 , tazza2 , 41.2548224299 , vapore , 0.0 
1463674590.81 , serbatoio , 71.7583753501 , al_fondi , 36.5792903828 , al_generico , 5.76330532213 , al_calcif , 0.0 , premacinato , 5.73131652661 , tazza1 , 70.5121008403 , tazza2 , 41.2861437908 , vapore , 0.0 
1463674590.81 , serbatoio , 71.7613059701 , al_fondi , 36.6139458955 , al_generico , 5.76284514925 , al_calcif , 0.0 , premacinato , 5.73052238806 , tazza1 , 70.5149253731 , tazza2 , 41.2565578358 , vapore , 0.0 
1463674590.82 , serbatoio , 71.7585927307 , al_fondi , 36.5798229264 , al_generico , 5.76639328984 , al_calcif , 0.0 , premacinato , 5.73410065238 , tazza1 , 70.5120969245 , tazza2 , 41.2268499534 , vapore , 0.0 
1463674590.82 , serbatoio , 71.7557914339 , al_fondi , 36.5457635009 , al_generico , 5.77002793296 , al_calcif , 0.0 , premacinato , 5.73740223464 , tazza1 , 70.5093668529 , tazza2 , 41.257839851 , vapore , 0.0 
1463674590.83 , serbatoio , 71.7587162791 , al_fondi , 36.5803534884 , al_generico , 5.7692 , al_calcif , 0.0 , premacinato , 5.73669767442 , tazza1 , 70.5121860465 , tazza2 , 41.2890418605 , vapore , 0.0 
1463674590.83 , serbatoio , 71.7616356877 , al_fondi , 36.6148791822 , al_generico , 5.76865241636 , al_calcif , 0.0 , premacinato , 5.74035315985 , tazza1 , 70.5094609665 , tazza2 , 41.259563197 , vapore , 0.0 
1463674590.84 , serbatoio , 71.7588393686 , al_fondi , 36.5808820799 , al_generico , 5.77208913649 , al_calcif , 0.0 , premacinato , 5.7439090065 , tazza1 , 70.5067409471 , tazza2 , 41.2300464253 , vapore , 0.0 
