1463675516.23 , serbatoio , 71.79 , al_fondi , 37.39 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 42.2 , vapore , 0.0 
1463675516.23 , serbatoio , 71.77 , al_fondi , 37.22 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.59 , tazza2 , 42.04 , vapore , 0.0 
1463675516.23 , serbatoio , 71.79 , al_fondi , 37.39 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 42.19 , vapore , 0.0 
1463675516.23 , serbatoio , 71.77 , al_fondi , 37.21 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.59 , tazza2 , 42.03 , vapore , 0.0 
1463675516.23 , serbatoio , 71.76 , al_fondi , 37.04 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 42.18 , vapore , 0.0 
1463675516.23 , serbatoio , 71.77 , al_fondi , 37.21 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.62 , tazza2 , 42.02 , vapore , 0.0 
1463675516.24 , serbatoio , 71.76 , al_fondi , 37.04 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.87 , vapore , 0.0 
1463675516.24 , serbatoio , 71.77 , al_fondi , 37.21 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.62 , tazza2 , 42.02 , vapore , 0.0 
1463675516.24 , serbatoio , 71.76 , al_fondi , 37.04 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.86 , vapore , 0.0 
1463675516.24 , serbatoio , 71.77 , al_fondi , 37.21 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.62 , tazza2 , 42.01 , vapore , 0.0 
1463675516.24 , serbatoio , 71.79 , al_fondi , 37.37 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.6 , tazza2 , 41.85 , vapore , 0.0 
1463675516.24 , serbatoio , 71.77 , al_fondi , 37.2 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 42.0 , vapore , 0.0 
1463675516.25 , serbatoio , 71.79 , al_fondi , 37.36 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.63 , tazza2 , 42.15 , vapore , 0.0 
1463675516.25 , serbatoio , 71.77 , al_fondi , 37.2 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 41.99 , vapore , 0.0 
1463675516.25 , serbatoio , 71.79 , al_fondi , 37.36 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.63 , tazza2 , 42.14 , vapore , 0.0 
1463675516.25 , serbatoio , 71.77 , al_fondi , 37.2 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.98 , vapore , 0.0 
1463675516.25 , serbatoio , 71.76 , al_fondi , 37.35 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 42.13 , vapore , 0.0 
1463675516.25 , serbatoio , 71.78 , al_fondi , 37.51 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.98 , vapore , 0.0 
1463675516.26 , serbatoio , 71.76 , al_fondi , 37.35 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.6 , tazza2 , 41.83 , vapore , 0.0 
